source,Authors,Cantidad
ACM,"Dragon, Tom\'{a}\v{s}",2
ACM,"Dunbar, Kyle M. and Coenraad, Merijke and Iwatani, Emi",1
ACM,"Duncan, Caitlin",1
ACM,"Espinal, Alejandro and Vieira, Camilo and Magana, Alejandra J.",1
ACM,"Espino, Elisenda Eva Espino and Gonz\'{a}lez, Carina Gonz\'{a}lez",1
ACM,"Espino, Elisenda Eva Espino and Gonz\'{a}lez, Carina Soledad Gonz\'{a}lez",1
ACM,"Faber, Hylke H. and van der Ven, Jan Salvador and Wierdsma, Menno D.M.",1
ACM,"Fagerlund, Janne",1
ACM,"Fairlie, Fiona",2
ACM,"Falc\~{a}o, Taciana Pontual and Gomes, Tancicleide C. Sim\~{o}es and Albuquerque, Isabella Rocha",1
ACM,"Feldhausen, Russell and Weese, Joshua Levi and Bean, Nathan H.",1
ACM,"Figueiredo, Jos\'{e} and Garc\'{\i}a-Pe\~{n}alvo, Francisco J.",1
ACM,"Fleenor, Hillary",1
ACM,"Flinn, Michael B. and McGee, Kristine and Barnes, Katelyn and Morton, Haylee",1
ACM,"Floyd, Lisa Anne",1
ACM,"Floyd, Steven Paul and Sorbara, Luigi",1
ACM,"Fronza, Ilenia and Corral, Luis and Pahl, Claus",1
ACM,"Fronza, Ilenia and Ioini, Nabil El and Corral, Luis",1
ACM,"Fuhrmann, Tamar and Ahmed, Deeana Ijaz and Arikson, Len and Wirth, Mike and Miller, Mark L and Li, Ethan and Lam, Amy and Blikstein, Paulo and Riedel-Kruse, Ingmar",1
ACM,"Fuste, Anna and Schmandt, Chris",1
ACM,"Garc\'{\i}a-Pe\~{n}alvo, Francisco J.",1
ACM,"Garc\'{\i}a-Pe\~{n}alvo, Francisco J. and Cruz-Benito, Juan",1
ACM,"Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e}",1
ACM,"Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e} and Conde, Miguel \'{A}. and Gon\c{c}alves, Jos\'{e} and Lima, Jos\'{e}",1
ACM,"Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e} and Conde, Miguel \'{A}ngel and Gon\c{c}alves, Jos\'{e} and Lima, Jos\'{e}",1
ACM,"Garcia, Dan and Garcha, Sonia and Mukund, Madhavan and Shah, Vipul",1
ACM,"Garcia, Leiny Y. and Parker, Miranda C. and Ojeda-Ramirez, Santiago and Warschauer, Mark",1
ACM,"Garcia-Robles, Rocio and Fern\'{a}ndez-Cabaleiro, Santiago",1
ACM,"Garvin, Megean and Killen, Heather and Plane, Jan and Weintrop, David",1
ACM,"Gautam, Aakash and Bortz, Whitney Elaine Wall and Tatar, Deborah",1
ACM,"Gautam, Aakash and Bortz, Whitney and Tatar, Deborah",1
ACM,"Gendreau Chakarov, Alexandra and Biddy, Quentin and Runberg, Derek",1
